LED name,x,y,Luminous Flux,Dominant Wavelength
DL200,0.6715,0.3217,8.729,614.42
DL201,0.6717,0.3224,9.0505,614.17
DL202,0.6722,0.32,8.7146,615.03
DL203,0.672,0.3222,8.9821,614.23
DL204,0.6702,0.3247,9.1807,613.36
DL205,0.6728,0.3221,8.6718,614.25
DL206,0.6722,0.3197,8.6601,615.18
DL207,0.6704,0.3229,8.9314,614
DL208,0.6728,0.3211,8.8783,614.62
DL209,0.6722,0.3217,9.0712,614.41
DL210,0.6714,0.322,8.7242,614.32
DL211,0.6713,0.3236,8.9619,613.75
DL212,0.6701,0.3231,8.9955,613.93
DL213,0.6728,0.3233,9.1421,613.83
DL214,0.6706,0.3235,8.9506,613.78
DL300,0.6849,0.3116,29.1562,618.7
DL301,0.6845,0.3125,28.669,618.29
